GEOIDFQ,NAME,GEOTYPE,Year,Number of Sales,Median Sales Price,Median Sales Price MOE,Median Household Income (MSA),Median Household Income MOE (MSA),Sales Price to Income Index (MSA),Median Sales Price (2024 Dollars),"Median Household Income (MSA, 2024 Dollars)"
0500000US39047,Fayette County,COUNTY,2022,299,180000.0,9682.410866869654,75777,1639.0,2.3753909497604813,192937.1444191967,81223.32218140816
0500000US39047,Fayette County,COUNTY,2023,295,185000.0,10520.888490923207,77390,1550.0,2.3904897273549555,190456.4623796365,79672.57093816253
0500000US39047,Fayette County,COUNTY,2024,297,210000.0,11516.908558094514,82938,1487.0,2.532011864284164,210000.0,82938.0
0500000US39049,Franklin County,COUNTY,2012,12668,134000.0,2029.4541763806715,53699,1282.0,2.495390975623382,183081.11710236332,73367.70826328215
0500000US39049,Franklin County,COUNTY,2013,15234,140000.0,1979.3164538739954,54079,1130.0,2.5888052663695706,188517.4517185575,72820.25193919908
0500000US39049,Franklin County,COUNTY,2014,15868,147000.0,1896.26409678855,56371,981.0,2.6077238296287097,194783.56903892945,74694.86102240472
0500000US39049,Franklin County,COUNTY,2015,17845,152750.0,1820.2043754453027,58192,1604.0,2.6249312620291447,202162.69191661358,77016.37556799724
0500000US39049,Franklin County,COUNTY,2016,19008,163500.0,1824.078872001796,60294,1005.0,2.7117126082197234,213694.39849671052,78804.22056856676
0500000US39049,Franklin County,COUNTY,2017,19193,175000.0,1858.206079038031,63764,1469.0,2.7444953265165295,223953.879732376,81601.11535574413
0500000US39049,Franklin County,COUNTY,2018,18541,189000.0,1961.5202758093142,64052,1189.0,2.9507275338787236,236103.41806480906,80015.32345972037
0500000US39049,Franklin County,COUNTY,2019,18701,202000.0,1960.3079185834956,67207,1091.0,3.005639293525972,247852.30993088393,82462.42670061841
0500000US39049,Franklin County,COUNTY,2020,19185,224000.0,2086.363882953381,66715,579.0,3.3575657648205053,271496.71381819167,80861.17527848508
0500000US39049,Franklin County,COUNTY,2021,20624,255000.0,2124.406177732066,71839,1250.0,3.549603975556453,295201.2953463483,83164.57198582869
0500000US39049,Franklin County,COUNTY,2022,17754,283000.0,2688.485597204655,75777,1639.0,3.7346424376789793,303340.06594795926,81223.32218140816
0500000US39049,Franklin County,COUNTY,2023,14898,300000.0,3106.1440597307896,77390,1550.0,3.876469828143171,308848.3173723835,79672.57093816253
0500000US39049,Franklin County,COUNTY,2024,15161,315000.0,3081.26290491923,82938,1487.0,3.798017796426246,315000.0,82938.0
0500000US39073,Hocking County,COUNTY,2012,137,108000.0,13734.793988348712,53699,1282.0,2.0112106370695915,147557.91527653162,73367.70826328215
0500000US39073,Hocking County,COUNTY,2013,147,122000.0,13418.558279727038,54079,1130.0,2.2559588749791972,164279.49364045725,72820.25193919908
0500000US39073,Hocking County,COUNTY,2014,165,115000.0,10900.706683288017,56371,981.0,2.040056057192528,152381.7036699108,74694.86102240472
0500000US39073,Hocking County,COUNTY,2015,212,120000.0,10232.999657824146,58192,1604.0,2.062139125653011,158818.48137475373,77016.37556799724
0500000US39073,Hocking County,COUNTY,2016,199,131000.0,12723.16091970271,60294,1005.0,2.1726871662188607,171216.91867320536,78804.22056856676
0500000US39073,Hocking County,COUNTY,2017,222,134250.0,12532.426179178488,63764,1469.0,2.1054199861991094,171804.61916612272,81601.11535574413
0500000US39073,Hocking County,COUNTY,2018,247,135000.0,12440.42314198436,64052,1189.0,2.107662524199088,168645.29861772075,80015.32345972037
0500000US39073,Hocking County,COUNTY,2019,257,160000.0,10444.027532438195,67207,1091.0,2.380704390911661,196318.66133139323,82462.42670061841
0500000US39073,Hocking County,COUNTY,2020,315,186000.0,17918.028951838,66715,579.0,2.7879787154313123,225439.23558117702,80861.17527848508
0500000US39073,Hocking County,COUNTY,2021,291,205000.0,16743.76785252521,71839,1250.0,2.8536031960355794,237318.68841569178,83164.57198582869
0500000US39073,Hocking County,COUNTY,2022,321,260000.0,22171.642643008887,75777,1639.0,3.4311202607651397,278686.98638328415,81223.32218140816
0500000US39073,Hocking County,COUNTY,2023,271,270000.0,30092.194166399644,77390,1550.0,3.488822845328854,277963.48563514516,79672.57093816253
0500000US39073,Hocking County,COUNTY,2024,302,280000.0,26802.056914750363,82938,1487.0,3.376015819045552,280000.0,82938.0
0500000US39083,Knox County,COUNTY,2012,244,120250.0,12044.733342327265,53699,1282.0,2.2393340658112812,164294.80844447156,73367.70826328215
0500000US39083,Knox County,COUNTY,2013,317,129000.0,10318.856778258249,54079,1130.0,2.3853991382976756,173705.36622638514,72820.25193919908
0500000US39083,Knox County,COUNTY,2014,376,132000.0,9504.390121620718,56371,981.0,2.3416295612992495,174907.69464720198,74694.86102240472
0500000US39083,Knox County,COUNTY,2015,393,140000.0,8809.622948221338,58192,1604.0,2.4058289799285126,185288.228270546,77016.37556799724
0500000US39083,Knox County,COUNTY,2016,500,145000.0,8530.037573405547,60294,1005.0,2.404882741234617,189514.9099817922,78804.22056856676
0500000US39083,Knox County,COUNTY,2017,540,149000.0,8260.29751681877,63764,1469.0,2.3367417351483595,190680.731886423,81601.11535574413
0500000US39083,Knox County,COUNTY,2018,618,155000.0,7980.865885877892,64052,1189.0,2.4199088240804345,193629.78730182754,80015.32345972037
0500000US39083,Knox County,COUNTY,2019,610,165000.0,8998.528919399858,67207,1091.0,2.4551014031276504,202453.61949799926,82462.42670061841
0500000US39083,Knox County,COUNTY,2020,618,180000.0,9625.297466334632,66715,579.0,2.6980439181593345,218167.0021753326,80861.17527848508
0500000US39083,Knox County,COUNTY,2021,671,200000.0,10608.986339947589,71839,1250.0,2.784003118083492,231530.42772262613,83164.57198582869
0500000US39083,Knox County,COUNTY,2022,625,230000.0,14489.045586227827,75777,1639.0,3.035221769138393,246530.79564675133,81223.32218140816
0500000US39083,Knox County,COUNTY,2023,574,254950.0,12827.36329634674,77390,1550.0,3.294353275617005,262469.59504696395,79672.57093816253
0500000US39083,Knox County,COUNTY,2024,568,275750.0,15533.265288048648,82938,1487.0,3.3247727217921823,275750.0,82938.0
