GEO_ID,NAME,reference_period,Number of Sales,Median Sale Price,Median Sale Price MOE,Median Household Income (Columbus MSA),Sales Price to Income Index (MORPC 15-county region),Median Sale Price (2024 Dollars),"Median Household Income (Columbus MSA, 2024 Dollars)",Percent Change in Median Sale Price (2024 Dollars),"Percent Change in Median Household Income (Columbus MSA, 2024 Dollars)"
0500000US39083,Knox,2019,609,165000.0,9012.279937068519,67207,2.4551014031276504,202453.61949799926,82462.42670061841,23.226,12.396
0500000US39083,Knox,2020,617,180000.0,9640.740896190297,66715,2.6980439181593345,218167.0021753326,80861.17527848508,32.79,10.214
0500000US39083,Knox,2021,670,200000.0,10623.992099355664,71839,2.784003118083492,231530.42772262613,83164.57198582869,40.924,13.353
0500000US39083,Knox,2022,625,230000.0,14489.045586227827,75777,3.035221769138393,246530.79564675133,81223.32218140816,50.054,10.707
0500000US39083,Knox,2023,573,255000.0,12844.741124473605,77390,3.2949993539216953,262521.069766526,79672.57093816253,59.787,8.594
0500000US39083,Knox,2024,568,275750.0,15533.265288048644,82938,3.3247727217921823,275750.0,82938.0,67.839,13.044
0500000US39089,Licking,2012,1649,127000.0,3925.7938146056435,53699,2.365034730628131,173517.1781492548,73367.70826328215,0.0,0.0
0500000US39089,Licking,2013,1933,136000.0,3784.2229647413924,54079,2.514839401616154,183131.238812313,72820.25193919908,5.541,-0.746
0500000US39089,Licking,2014,2005,145000.0,4368.060425314157,56371,2.5722445938514484,192133.45245336578,74694.86102240472,10.729,1.809
0500000US39089,Licking,2015,2279,154000.0,3575.311998289048,58192,2.6464118779213637,203817.0510976006,77016.37556799724,17.462,4.973
0500000US39089,Licking,2016,2463,163500.0,3594.632750330488,60294,2.7117126082197234,213694.39849671052,78804.22056856676,23.155,7.41
0500000US39089,Licking,2017,2552,180000.0,3715.419365200767,63764,2.8229094787027162,230352.5620104439,81601.11535574413,32.755,11.222
0500000US39089,Licking,2018,2417,195000.0,4212.408956824005,64052,3.0444014238431274,243598.7646700411,80015.32345972037,40.389,9.061
0500000US39089,Licking,2019,2516,208000.0,4171.8578519351395,67207,3.0949157081851593,255214.2597308112,82462.42670061841,47.083,12.396
0500000US39089,Licking,2020,2535,232000.0,4880.662702818981,66715,3.4774788278498088,281193.0250259842,80861.17527848508,62.055,10.214
0500000US39089,Licking,2021,2863,263275.0,5166.900888180844,71839,3.664792104567157,304780.86679337197,83164.57198582869,75.649,13.353
0500000US39089,Licking,2022,2542,300000.0,6554.593509427983,75777,3.958984916267469,321561.9073653278,81223.32218140816,85.32,10.707
0500000US39089,Licking,2023,2150,310000.0,6418.943371310941,77390,4.0056854890812765,319143.2612847963,79672.57093816253,83.926,8.594
0500000US39089,Licking,2024,2225,320000.0,6881.781161983241,82938,3.8583037931949167,320000.0,82938.0,84.42,13.044
0500000US39091,Logan,2014,79,142000.0,20649.766441031723,56371,2.5190257401855565,188158.2775750203,74694.86102240472,0.0,0.0
0500000US39091,Logan,2015,122,136000.0,14162.279974636023,58192,2.3370910090734123,179994.27889138754,77016.37556799724,-4.339,3.108
0500000US39091,Logan,2016,163,127000.0,15526.804977522623,60294,2.1063455733572165,165988.92115646627,78804.22056856676,-11.782,5.502
0500000US39091,Logan,2017,167,142000.0,16338.143324698578,63764,2.2269619220876984,181722.57669712795,81601.11535574413,-3.42,9.246
0500000US39091,Logan,2018,167,149900.0,28856.499023447133,64052,2.3402860176106914,187258.7426873803,80015.32345972037,-0.478,7.123
0500000US39091,Logan,2019,214,161000.0,15311.422633542345,67207,2.395583793354859,197545.65296471442,82462.42670061841,4.989,10.399
0500000US39091,Logan,2020,228,170000.0,15851.6678595148,66715,2.548152589372705,206046.6131655919,80861.17527848508,9.507,8.255
0500000US39091,Logan,2021,265,210000.0,16925.303011810443,71839,2.9232032739876668,243106.94910875743,83164.57198582869,29.203,11.339
0500000US39091,Logan,2022,302,234750.0,17258.863141419097,75777,3.0979056969792946,251622.19251336902,81223.32218140816,33.729,8.74
0500000US39091,Logan,2023,259,240000.0,16372.36224664716,77390,3.1011758625145367,247078.65389790683,79672.57093816253,31.314,6.664
0500000US39091,Logan,2024,304,250000.0,19963.82605789584,82938,3.0142998384335287,250000.0,82938.0,32.867,11.036
0500000US39097,Madison,2012,288,116000.0,9427.956594338217,53699,2.1601892027784504,158488.1312229414,73367.70826328215,0.0,0.0
0500000US39097,Madison,2013,327,128000.0,12651.659231746838,54079,2.3669076721093214,172358.812999824,72820.25193919908,8.752,-0.746
0500000US39097,Madison,2014,369,128000.0,8459.38640076906,56371,2.270671089744727,169607.46147607462,74694.86102240472,7.016,1.809
0500000US39097,Madison,2015,421,137900.0,7710.729083927886,58192,2.369741545229585,182508.9048464878,77016.37556799724,15.156,4.973
0500000US39097,Madison,2016,466,146700.0,8121.42292751133,60294,2.433077918200816,191736.80892640632,78804.22056856676,20.979,7.41
0500000US39097,Madison,2017,478,147000.0,7865.69809072982,63764,2.305376074273885,188121.25897519584,81601.11535574413,18.697,11.222
0500000US39097,Madison,2018,470,165750.0,8372.142831986499,64052,2.587741210266658,207058.94996953494,80015.32345972037,30.646,9.061
0500000US39097,Madison,2019,441,178000.0,11101.106645741425,67207,2.648533634889223,218404.51073117496,82462.42670061841,37.805,12.396
0500000US39097,Madison,2020,489,202000.0,9801.234976451278,66715,3.0278048414899197,244831.85799676212,80861.17527848508,54.48,10.214
0500000US39097,Madison,2021,498,250000.0,11301.042469377875,71839,3.4800038976043655,289413.03465328267,83164.57198582869,82.609,13.353
0500000US39097,Madison,2022,504,269700.0,12090.76379554824,75777,3.5591274397244548,289084.15472142975,81223.32218140816,82.401,10.707
0500000US39097,Madison,2023,435,299000.0,13438.87034345422,77390,3.86354826204936,307818.82298114226,79672.57093816253,94.222,8.594
0500000US39097,Madison,2024,503,330000.0,17233.11961474828,82938,3.978875786732258,330000.0,82938.0,108.217,13.044
0500000US39101,Marion,2012,371,65000.0,5138.676784846167,53699,1.2104508463844765,88808.00456457923,73367.70826328215,0.0,0.0
0500000US39101,Marion,2013,387,67500.0,5290.310189821899,54079,1.2481739677139,90892.34279287595,72820.25193919908,2.347,-0.746
0500000US39101,Marion,2014,500,84000.0,4644.589169632016,56371,1.490127902644977,111304.89659367398,74694.86102240472,25.332,1.809
0500000US39101,Marion,2015,610,81450.0,4643.600234422869,58192,1.399676931536981,107798.04423311408,77016.37556799724,21.383,4.973
0500000US39101,Marion,2016,720,95395.0,4275.288533214991,60294,1.582164062759147,124681.2057773315,78804.22056856676,40.394,7.41
0500000US39101,Marion,2017,672,102000.0,4407.654574163768,63764,1.599648704598206,130533.11847258486,81601.11535574413,46.984,11.222
0500000US39101,Marion,2018,801,110000.0,5132.03142135131,64052,1.7173546493474052,137414.68776258727,80015.32345972037,54.732,9.061
0500000US39101,Marion,2019,798,118750.0,4883.4223939351,67207,1.7669290401297484,145705.2564568934,82462.42670061841,64.068,12.396
0500000US39101,Marion,2020,852,125000.0,4880.799598511338,66715,1.8736416098328712,151504.86262175874,80861.17527848508,70.598,10.214
0500000US39101,Marion,2021,771,149900.0,5613.991684769886,71839,2.0866103370035773,173532.0555781083,83164.57198582869,95.401,13.353
0500000US39101,Marion,2022,684,152250.0,6621.347585972065,75777,2.0091848450057403,163192.66798790387,81223.32218140816,83.759,10.707
0500000US39101,Marion,2023,632,158750.0,7386.561697914735,77390,2.051298617392428,163432.23460955295,79672.57093816253,84.029,8.594
0500000US39101,Marion,2024,688,180000.0,7003.801879891509,82938,2.1702958836721407,180000.0,82938.0,102.684,13.044
0500000US39117,Morrow,2012,59,67000.0,11684.020999520617,53699,1.247695487811691,91540.55855118166,73367.70826328215,0.0,0.0
0500000US39117,Morrow,2013,99,85500.0,11057.200588895412,54079,1.5810203591042733,115130.30087097619,72820.25193919908,25.77,-0.746
0500000US39117,Morrow,2014,250,128500.0,8224.61985112358,56371,2.279540898689042,170269.99062246556,74694.86102240472,86.005,1.809
0500000US39117,Morrow,2015,447,132999.0,6215.600755625372,58192,2.285520346439373,176022.4933696739,77016.37556799724,92.289,4.973
0500000US39117,Morrow,2016,434,138000.0,6350.338414938947,60294,2.288784953726739,180365.9143274988,78804.22056856676,97.034,7.41
0500000US39117,Morrow,2017,405,140000.0,7169.072390331079,63764,2.1955962612132236,179163.10378590078,81601.11535574413,95.72,11.222
0500000US39117,Morrow,2018,355,150000.0,8930.897622839539,64052,2.341847249110098,187383.66513080083,80015.32345972037,104.7,9.061
0500000US39117,Morrow,2019,322,170000.0,9645.457641413124,67207,2.5294984153436397,208588.5776646053,82462.42670061841,127.865,12.396
0500000US39117,Morrow,2020,362,192500.0,10767.858420792183,66715,2.8854080791426218,233317.48843750847,80861.17527848508,154.879,10.214
0500000US39117,Morrow,2021,376,217000.0,11544.018469884493,71839,3.020643383120589,251210.51407904935,83164.57198582869,174.425,13.353
0500000US39117,Morrow,2022,353,247000.0,19647.785450856,75777,3.2595642477268827,264752.6370641199,81223.32218140816,189.219,10.707
0500000US39117,Morrow,2023,298,269500.0,18705.637288877755,77390,3.4823620622819487,277448.73843952455,79672.57093816253,203.088,8.594
0500000US39117,Morrow,2024,296,290000.0,14663.449592434497,82938,3.4965878125828933,290000.0,82938.0,216.799,13.044
0500000US39127,Perry,2014,100,143500.0,15790.419396728577,56371,2.5456351670185025,190145.86501419306,74694.86102240472,0.0,0.0
0500000US39127,Perry,2015,123,125000.0,14633.510802964174,58192,2.148061589221886,165435.91809870178,77016.37556799724,-12.995,3.108
0500000US39127,Perry,2016,129,123900.0,15031.163997431871,60294,2.0549308388894416,161937.22308099348,78804.22056856676,-14.835,5.502
0500000US39127,Perry,2017,187,139900.0,15141.248637706703,63764,2.1940279781695002,179035.13014033943,81601.11535574413,-5.843,9.246
0500000US39127,Perry,2018,225,144000.0,15197.288800525077,64052,2.248173359145694,179888.31852556881,80015.32345972037,-5.395,7.123
0500000US39127,Perry,2019,235,139900.0,15590.394043805007,67207,2.0816284018033837,171656.12950163695,82462.42670061841,-9.724,10.399
0500000US39127,Perry,2020,208,175500.0,15759.134859363472,66715,2.6305928202053512,212712.82712094928,80861.17527848508,11.868,8.255
0500000US39127,Perry,2021,259,178900.0,18058.953971519317,71839,2.490290789125684,207103.96759788907,83164.57198582869,8.918,11.339
0500000US39127,Perry,2022,268,211250.0,23529.19811719639,75777,2.787785211871676,226433.17643641835,81223.32218140816,19.084,8.74
0500000US39127,Perry,2023,231,233350.0,27376.45166236181,77390,3.0152474479906965,240232.5161961523,79672.57093816253,26.341,6.664
0500000US39127,Perry,2024,229,229900.0,22599.59020487262,82938,2.771950131423473,229900.0,82938.0,20.907,11.036
0500000US39129,Pickaway,2014,374,144173.5,5902.740869035045,56371,2.5575827996664953,191038.29177438162,74694.86102240472,0.0,0.0
